59,Method,Decision,Compound_ID,MZ,RT,HMDB_ID,"HMDB_ID_specificity (1=match,2=representative)",Metabolite,super_class,main_class,sub_class,1S,2S,3S,4SA,5SA,6SA,7Q,8Q,9Q,10QA,11QA,12QA,Syn/Ctrl,p value_Syn_vs_Ctrl,Syn AKI-KD/Ctrl AKI-KD,p value_AKI_KD_Syn_vs_AKI_KD_Ctrl
177,HILIC-pos,,QI00665,766.6899,1.55,HMDB0042301,2,TG 44:1,Glycerolipids,Triradylglycerols,TAG,24414180,22535903,22559818,26654469,27648133,27583761,20505442,22736740,23301459,25053658,23437161,24439039,0.957326079,0.402224732,0.890622752,0.006352981
9986,C8-pos,KEEP,QI07629,771.6455,11.09,HMDB0042301,2,TG 44:1,Glycerolipids,Triradylglycerols,TAG,17780412,17548581,17087324,17931261,17536788,17943110,16571305,16581764,16727260,17225034,17215322,16737152,0.951618348,0.015749964,0.958180069,0.023599405
176,HILIC-pos,,QI00702,764.6747,1.57,HMDB0042279,2,TG 44:2,Glycerolipids,Triradylglycerols,TAG,7935241,7574488,7596882,8541704,8948162,9699441,7572632,8665442,10055793,7875335,7664467,9491179,1.137936974,0.21820961,0.920618573,0.342901285
9987,C8-pos,KEEP,QI04429,769.6297,10.85,HMDB0042279,2,TG 44:2,Glycerolipids,Triradylglycerols,TAG,17886173,17488994,17947327,19332510,19856944,20022937,17765147,18152328,18642657,18816420,18651616,19469074,1.02321043,0.230220716,0.961574242,0.079901079
178,HILIC-pos,,QI00663,792.7061,1.54,HMDB0010419,2,TG 46:2,Glycerolipids,Triradylglycerols,TAG,13545623,13209417,13267041,13972502,14552465,15585367,14094125,14938838,15668714,14699640,13985579,15588809,1.116925354,0.028761824,1.003711012,0.93821872
9992,C8-pos,KEEP,QI04552,797.661,11.16,HMDB0010419,2,TG 46:2,Glycerolipids,Triradylglycerols,TAG,18166803,17030692,18164265,19731185,19670365,19812326,17842863,18158393,18453344,19231377,18669412,18597160,1.020479834,0.431996566,0.954133605,0.011473337
32,HILIC-pos,KEEP,QI06830,169.0356,4.48,HMDB0000289,1,Uric acid,Nucleic acids,Purines,Xanthines,407106,377497,378668,389422,301552,361300,261028,217374,242048,306823,365947,302754,0.619331179,0.000752397,0.927062723,0.481317663
7550,HILIC-neg,,TF166,167.0211,4.84,HMDB0000289,1,Uric acid,Nucleic acids,Purines,Xanthines,4388671494,3870934668,3864806080,4400756130,3696981490,4021526030,4028467517,3541472533,3854565656,4514005475,4411703775,4439716809,0.942272951,0.357574046,1.102824928,0.113506582
30,HILIC-pos,,QI06369,153.0407,3.8,HMDB0000292,1,Xanthine,Nucleic acids,Purines,Xanthines,15334,11240,15833,24894,17016,21114,12810,11093,13296,14518,14305,16438,0.877190087,0.339231809,0.718154989,0.067171678
7552,HILIC-neg,KEEP,TF169,151.0262,4.61,HMDB0000292,1,Xanthine,Nucleic acids,Purines,Xanthines,145047271,147719639,197690663,215735647,246022363,275340539,132024254,157497644,155673463,153525396,150739179,169872912,0.907714317,0.471254304,0.643248434,0.008568061
