59,Method,Decision,Compound_ID,MZ,RT,HMDB_ID,"HMDB_ID_specificity (1=match,2=representative)",Metabolite,super_class,main_class,sub_class,1S,2S,3S,4SA,5SA,6SA,7Q,8Q,9Q,10QA,11QA,12QA,Syn/Ctrl,p value_Syn_vs_Ctrl,Syn AKI-KD/Ctrl AKI-KD,p value_AKI_KD_Syn_vs_AKI_KD_Ctrl
9899,C8-pos,,QI10494,452.277,4.53,HMDB0011504,2,LPE 16:1,Glycerophospholipids,Glycerophosphoethanolamines,LPE,2916898,3776624,2780923,3664050,4414484,4509038,2891207,3865734,2921944,3277055,2765472,3074978,1.021578045,0.886113982,0.724325946,0.019416399
225,HILIC-pos,KEEP,QI09029,482.3236,6.4,HMDB0011130,1,LPE 18:0,Glycerophospholipids,Glycerophosphoethanolamines,LPE,469018,438150,315575,615721,487209,663281,434111,435039,368353,836639,698246,582794,1.01207122,0.928895036,1.198995477,0.264153496
9904,C8-pos,,QI02324,482.3246,5.62,HMDB0011130,1,LPE 18:0,Glycerophospholipids,Glycerophosphoethanolamines,LPE,207714,246809,156898,328841,277786,351520,225065,233185,207688,404785,351702,322071,1.089164422,0.539127947,1.125670696,0.285314949
224,HILIC-pos,KEEP,QI08964,480.308,6.34,HMDB0011475,2,LPE 18:1,Glycerophospholipids,Glycerophosphoethanolamines,LPE,10236361,10005935,8288550,11598554,12478930,13259970,10151277,12038353,10988343,14459162,10463317,12916153,1.162880799,0.1325744,1.013422929,0.90080632
9903,C8-pos,,QI10091,480.3085,5.08,HMDB0011475,2,LPE 18:1,Glycerophospholipids,Glycerophosphoethanolamines,LPE,4005059,4988644,3733851,5808778,5943171,6706480,4651627,6525289,5220231,6808808,5017243,6164284,1.288318792,0.14328535,0.974640637,0.805718017
223,HILIC-pos,KEEP,QI08996,478.2924,6.38,HMDB0011507,2,LPE 18:2,Glycerophospholipids,Glycerophosphoethanolamines,LPE,15938117,16028600,14408737,16688740,16432278,18636052,14984576,17319220,16982704,15288889,15473582,17826337,1.062771267,0.340868365,0.938785909,0.380708029
9902,C8-pos,,QI10333,478.2929,4.72,HMDB0011507,2,LPE 18:2,Glycerophospholipids,Glycerophosphoethanolamines,LPE,6628806,8428423,6388445,8300385,8625446,9615025,7492844,8780629,8170717,7056836,7404481,8727805,1.139819154,0.24997245,0.873714171,0.158044953
222,HILIC-pos,KEEP,QI09046,476.277,6.41,HMDB0011478,2,LPE 18:3,Glycerophospholipids,Glycerophosphoethanolamines,LPE,4415769,4556522,4220336,4312677,4371909,5049737,3240142,3766424,4343361,3109839,3381627,4925091,0.860323497,0.139009462,0.831242792,0.27586665
9901,C8-pos,,QI10566,476.2771,4.45,HMDB0011478,2,LPE 18:3,Glycerophospholipids,Glycerophosphoethanolamines,LPE,1520866,1871957,1577941,1847007,1810824,2058476,1254300,1556380,1701488,1248041,1382693,2031141,0.907741345,0.421436995,0.815539648,0.238288153
151,HILIC-pos,,QI01386,227.2005,1.79,HMDB0002000,1,Myristoleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,15142,20681,14774,20009,17927,16485,19304,16575,19017,15383,15630,15771,1.084965512,0.532029798,0.859668143,0.068680814
18389,C18-neg,KEEP,QI8417,225.1856,13.1,HMDB0002000,1,Myristoleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,571005,522520,465748,799638,775828,768241,503019,462486,489338,555054,517130,688283,0.933026481,0.346603091,0.751146368,0.021104581
49,HILIC-pos,KEEP,QI06216,132.0656,3.69,HMDB0000766,1,N-Acetylalanine,Organic acids,Amino acids and peptides,Amino acids,600,863,398,749,520,611,834,677,856,1021,780,575,1.27189683,0.312125128,1.263829787,0.31801734
